time,open,high,low,close,volume
2018-01-11 08:00:00,13356.7,13554.5,13133.5,13463.5,399.17926723
2018-01-11 12:00:00,13467.0,14284.0,13454.9,13983.5,1812.69313197
2018-01-11 16:00:00,13982.4,14155.8,13300.0,13392.0,1619.1222938
2018-01-11 20:00:00,13392.0,13545.4,12910.1,13288.5,1408.87598153
2018-01-12 00:00:00,13288.1,13750.0,12767.9,13693.0,1866.00502734
2018-01-12 04:00:00,13714.6,13849.5,13379.4,13674.8,1327.39135497
2018-01-12 08:00:00,13674.8,14062.9,13334.0,13867.8,1607.7780517800002
2018-01-12 12:00:00,13867.8,13965.0,13383.8,13383.8,1661.80373449
2018-01-12 16:00:00,13383.8,13703.1,13234.1,13665.4,1862.34631736
2018-01-12 20:00:00,13665.4,13850.0,13499.8,13739.5,941.89191427
2018-01-13 00:00:00,13739.5,14215.0,13727.0,14024.2,1905.64929867
2018-01-13 04:00:00,14024.2,14800.0,13900.0,14274.0,1903.3306706600001
2018-01-13 08:00:00,14273.3,14285.4,14018.8,14214.1,1362.2599921800002
2018-01-13 12:00:00,14214.1,14570.0,14122.1,14274.6,1687.33070582
2018-01-13 16:00:00,14274.6,14357.8,14000.0,14060.2,2936.53446172
2018-01-13 20:00:00,14060.2,14361.5,14035.0,14187.2,977.3992713299999
2018-01-14 00:00:00,14187.2,14347.9,14121.8,14203.7,1249.0917961999999
2018-01-14 04:00:00,14203.7,14233.9,13469.8,13678.1,1706.37556679
2018-01-14 08:00:00,13678.1,13748.9,12850.0,13289.7,1480.80355685
2018-01-14 12:00:00,13289.7,13409.3,12559.5,12649.7,3359.52767523
2018-01-14 16:00:00,12645.3,13365.0,12504.0,13136.0,2864.9590721900004
2018-01-14 20:00:00,13136.0,13574.5,13107.6,13446.2,2057.4458535599997
2018-01-15 00:00:00,13446.2,13672.0,13260.1,13368.0,1880.5701597
2018-01-15 04:00:00,13368.0,13728.8,13354.2,13399.1,1547.52709378
2018-01-15 08:00:00,13399.1,13792.0,13218.5,13751.6,2658.50360412
2018-01-15 12:00:00,13751.6,14198.3,13538.8,13938.5,2360.85281877
2018-01-15 16:00:00,13939.4,14027.7,13683.1,13777.4,992.30463485
2018-01-15 20:00:00,13777.4,13853.3,13427.4,13546.8,638.0522558600001
2018-01-16 00:00:00,13546.8,13577.2,12624.9,12851.1,2939.78095767
2018-01-16 04:00:00,12851.1,13100.8,12358.4,12431.4,1331.75108767
2018-01-16 08:00:00,12431.4,12525.8,11006.1,12042.2,5276.77145193
2018-01-16 12:00:00,12042.2,12080.3,11269.7,11935.0,3939.36439345
2018-01-16 16:00:00,11933.1,11933.1,10770.4,11182.2,3101.42666581
2018-01-16 20:00:00,11182.2,11355.0,10000.0,10973.5,3576.6669538200003
2018-01-17 00:00:00,10973.5,11427.7,10000.0,10459.7,3828.3166628999998
2018-01-17 04:00:00,10459.7,11063.8,10149.0,10741.2,2983.86611924
2018-01-17 08:00:00,10741.2,10753.2,9700.0,9943.7,3536.7452749000004
2018-01-17 12:00:00,9937.4,10499.9,9150.0,9407.0,4207.72514276
2018-01-17 16:00:00,9407.0,10545.1,9407.0,10370.1,2924.0247315
2018-01-17 20:00:00,10380.1,11460.1,10286.6,11000.2,2831.35122881
2018-01-18 00:00:00,11000.4,11621.4,10759.1,11070.3,2864.57527063
2018-01-18 04:00:00,11070.3,11318.5,10500.6,10557.6,2572.20325998
